tanggal,judul,link
2021-08-14,[SALAH] Hasil Perhitungan Data Orang yang Sudah Divaksinasi Lebih Banyak Terpapar Varian Delta dan Peluang Kematian Lebih Tinggi,https://covid19.go.id/p/hoax-buster/salah-hasil-perhitungan-data-orang-yang-sudah-divaksinasi-lebih-banyak-terpapar-varian-delta-dan-peluang-kematian-lebih-tinggi
2021-08-14,[SALAH] Bantuan Subsidi Upah KEMNAKER Meminta Data Calon Penerima,https://covid19.go.id/p/hoax-buster/salah-bantuan-subsidi-upah-kemnaker-meminta-data-calon-penerima
2021-08-14,[SALAH] Rockefeller Foundation Telah Rencanakan Skenario Pandemi Covid-19 Sejak 2010,https://covid19.go.id/p/hoax-buster/salah-rockefeller-foundation-telah-rencanakan-skenario-pandemi-covid-19-sejak-2010
2021-08-14,"Awas Hoaks Vaksin Astrazeneca, Pfizer, dan Moderna Berafiliasi dengan Bluetooth kecuali Sinovac",https://covid19.go.id/p/hoax-buster/awas-hoaks-vaksin-astrazeneca-pfizer-dan-moderna-berafiliasi-dengan-bluetooth-kecuali-sinovac
2021-08-12,Awas Hoaks: COVID-19 Bermutasi Menjadi Virus Baru yang Lebih Berbahaya dan Vaksinasi Timbulkan Varian Baru Virus COVID-19,https://covid19.go.id/p/hoax-buster/awas-hoaks-covid-19-bermutasi-menjadi-virus-baru-yang-lebih-berbahaya-dan-vaksinasi-timbulkan-varian-baru-virus-covid-19
2021-08-11,Awas Hoaks: Pandemi COVID-19 Sudah Diprediksi Sejak Tahun 2016,https://covid19.go.id/p/hoax-buster/awas-hoaks-pandemi-covid-19-sudah-diprediksi-sejak-tahun-2016
2021-08-10,"[SALAH] Virus Corona Katanya Ganas dan Mematikan, Tapi yang Mati Selalu di Rumah Sakit",https://covid19.go.id/p/hoax-buster/salah-virus-corona-katanya-ganas-dan-mematikan-tapi-yang-mati-selalu-di-rumah-sakit
2021-08-10,Awas Hoaks: Tautan Pengecekan Penerima Bansos dengan NIK E-KTP,https://covid19.go.id/p/hoax-buster/awas-hoaks-tautan-pengecekan-penerima-bansos-dengan-nik-e-ktp
2021-08-09,[SALAH] Seluruh Objek Wisata di Kabupaten Pangandaran Telah Dibuka Kembali,https://covid19.go.id/p/hoax-buster/salah-seluruh-objek-wisata-di-kabupaten-pangandaran-telah-dibuka-kembali
2021-08-09,[SALAH] Video Wawancara CEO Pfizer yang Menolak Divaksin pada Agustus 2021,https://covid19.go.id/p/hoax-buster/salah-video-wawancara-ceo-pfizer-yang-menolak-divaksin-pada-agustus-2021
2021-08-09,"[SALAH] Vaksin Astrazeneca, Pfizer, dan Moderna Berafiliasi dengan Bluetooth kecuali Sinovac",https://covid19.go.id/p/hoax-buster/salah-vaksin-astrazeneca-pfizer-dan-moderna-berafiliasi-dengan-bluetooth-kecuali-sinovac
2021-08-08,[SALAH] Covid-19 Bermutasi Menjadi Virus Baru yang Lebih Berbahaya dan Vaksinasi Timbulkan Virus Lain Dari Covid-19,https://covid19.go.id/p/hoax-buster/salah-covid-19-bermutasi-menjadi-virus-baru-yang-lebih-berbahaya-dan-vaksinasi-timbulkan-virus-lain-dari-covid-19
2021-08-08,Awas Hoaks: COVID-19 singkatan dari Certification Of Vaccination Identification by Artificial Intelligence,https://covid19.go.id/p/hoax-buster/awas-hoaks-covid-19-singkatan-dari-certification-vaccination-identification-artificial-intelligence
2021-08-08,[SALAH] Dokumen Bank Dunia Tetapkan Covid-19 Sampai Tahun 2025,https://covid19.go.id/p/hoax-buster/salah-dokumen-bank-dunia-tetapkan-covid-19-sampai-tahun-2025
2021-08-07,[SALAH] Tautan Pendaftaran Bantuan Sosial Sebesar Rp500.000 dari Kementerian Sosial,https://covid19.go.id/p/hoax-buster/salah-tautan-pendaftaran-bantuan-sosial-sebesar-rp500000-dari-kementerian-sosial
